code_iata;icao_code;timezone;gmt_offset;raw_offset;dst_offset;name;ordre
PQM;MMPQ;America/Mexico_City;-6;-6;-6;Palenque International Airport;4486
PRO;KPRO;America/Chicago;-6;-6;-5;Perry Municipal Airport;4487
PTN;KPTN;America/Chicago;-6;-6;-5;Harry P Williams Memorial Airport;4488
QEI;;;;;;;4489
QEV;;;;;;;4490
QFA;;;;;;;4491
QGP;SNGN;America/Recife;-3;-3;-3;Garanhuns Airport;4492
QHD;;;;;;;4493
QMJ;;;;;;;4494
QNT;;;;;;;4495
QYB;;;;;;;4496
RCO;LFDN;Europe/Paris;1;1;2;Rochefort - Saint-Agnant;4497
RLD;KRLD;America/Los_Angeles;-8;-8;-7;Richland Airport;4498
RTI;;;;;;;4499
SBR;YSII;Australia/Brisbane;10;10;10;Saibai Island Airport;4500
SCT;OYSQ;Asia/Aden;3;3;3;Socotra;4501
SLT;KANK;America/Denver;-7;-7;-6;Harriet Alexander Field Airport;4502
SMD;KSMD;America/Indiana/Indianapolis;-5;-5;-4;Smith Field;4503
SNL;KSNL;America/Chicago;-6;-6;-5;Shawnee Regional Airport;4504
SYA;PASY;America/Adak;-10;-10;-9;Eareckson Air Station;4505
TCM;KTCM;America/Los_Angeles;-8;-8;-7;McChord Field Airport (Joint Base Lewis-McChord);4506
TMT;SBTB;America/Santarem;-3;-3;-3;Trombetas Airport;4507
TPL;KTPL;America/Chicago;-6;-6;-5;Temple, Draughon-Miller Central Texas Regional Airport;4508
UIK;UIBS;Asia/Irkutsk;8;8;8;Ust-Ilimsk Airport;4509
ULO;ZMUG;Asia/Hovd;7;7;7;Ulaangom Airport;4510
VEO;UNIS;Asia/Krasnoyarsk;7;7;7;Severo-Eniseysk Airport;4511
VHY;LFLV;Europe/Paris;1;1;2;Vichy - Charmeil Airport;4512
VIH;KVIH;America/Chicago;-6;-6;-5;Rolla National Airport;4513
VNR;YVRS;Australia/Brisbane;10;10;10;Vanrook Station Airport;4514
VPN;BIVO;Atlantic/Reykjavik;0;0;0;Vopnafjörður Airport;4515
XTO;YTAM;Australia/Brisbane;10;10;10;Taroom Airport;4516
YAA;;;;;;;4517
YAP;PTYA;Pacific/Chuuk;10;10;10;Yap International Airport;4518
YBX;CYBX;America/Blanc-Sablon;-4;-4;-4;Lourdes-de-Blanc-Sablon Airport;4519
YFS;CYFS;America/Edmonton;-7;-7;-6;Fort Simpson Airport;4520
YGV;CYGV;America/Toronto;-5;-5;-4;Havre Saint-Pierre Airport;4521
YGZ;CYGZ;America/Iqaluit;-5;-5;-4;Grise Fiord Airport;4522
YLL;CYLL;America/Edmonton;-7;-7;-6;Lloydminster Airport;4523
YNA;CYNA;America/Toronto;-5;-5;-4;Natashquan Airport;4524
YOC;CYOC;America/Whitehorse;-7;-7;-7;Old Crow Airport;4525
YRB;CYRB;America/Resolute;-6;-6;-5;Resolute Bay Airport;4526
YSF;CYSF;America/Regina;-6;-6;-6;Stony Rapids Airport;4527
YTP;;;;;;;4528
YVE;CYVK;America/Vancouver;-8;-8;-7;Vernon Regional Airport;4529
YZG;CYZG;America/Toronto;-5;-5;-4;Salluit Airport;4530
YZR;CYZR;America/Toronto;-5;-5;-4;Sarnia Chris Hadfield Airport;4531
ZWL;CZWL;America/Regina;-6;-6;-6;Wollaston Lake Airport;4532
AID;KAID;America/Indiana/Indianapolis;-5;-5;-4;Anderson Municipal Airport;4533
AKH;OEPS;Asia/Riyadh;3;3;3;Prince Sultan Air Base;4534
AKK;PAKH;America/Anchorage;-9;-9;-8;Akhiok Airport;4535
AKV;CYKO;America/Toronto;-5;-5;-4;Akulivik Airport;4536
ANB;KANB;America/Chicago;-6;-6;-5;Anniston Metropolitan Airport;4537
ANQ;KANQ;America/Indiana/Indianapolis;-5;-5;-4;Tri-State Steuben County Airport;4538
AOH;KAOH;America/New_York;-5;-5;-4;Lima Allen County Airport;4539
AOT;LIMW;Europe/Rome;1;1;2;Aosta Airport;4540
ATM;SBHT;America/Santarem;-3;-3;-3;Altamira;4541
AVX;KAVX;America/Los_Angeles;-8;-8;-7;Catalina Airport;4542
